"id","headline","datatype","forebear","timetype","editstatus","maplvllo","maplvlhi","timelvllo","timelvlhi","maptype","st_npoints","geometrytype"
"14710","Faisal II","7","10416","3","5","1","18","5","5","2","1","POINT"
"14734","Farouk","7","3","3","5","1","18","5","5","2","1","POINT"
"14088","Fatimids and Mamelukes","2","14088","3","5","14","18","5","6","2","1","POINT"
"14711","Ghazi I","7","10416","3","5","1","18","5","5","2","1","POINT"
"13911","Greece","2","6","3","5","14","18","5","6","2","1","POINT"
"14792","Hellenic Age","2","6","3","5","14","18","5","6","2","1","POINT"
"14786","Hellenistic Age","2","6","3","5","14","18","5","6","2","1","POINT"
"13416","Hittites","2","13416","3","5","14","18","5","6","2","1","POINT"
"10572","Indonesia","2","10572","3","5","14","18","5","6","2","1","POINT"
"14749","Israel a State","8","14749","2","5","12","18","4","5","2","1","POINT"
"11346","Japan","2","11346","3","5","14","18","5","6","2","1","POINT"
"14421","King Menes","2","3","3","5","14","18","5","6","2","1","POINT"
"14748","Lawrence sent to Arabia","8","14748","2","5","12","18","4","5","2","1","POINT"
"14422","Middle Kingdom","2","3","3","5","14","18","5","6","2","1","POINT"
"14789","Minoan Civilization","2","6","3","5","14","18","5","6","2","1","POINT"
"13550","Mitanni","2","13550","3","5","14","18","5","6","2","1","POINT"
"14129","Mongols","2","14129","3","5","14","18","5","7","2","1","POINT"
"968494","Morsy","7","3","3","5","1","18","5","5","2","1","POINT"
"14737","Mubarak","7","3","3","5","1","18","5","5","2","1","POINT"
"14790","Mycenaen Empire","2","6","3","5","14","18","5","6","2","1","POINT"
"14744","Napoleon lands in Egypt","8","14744","2","5","12","18","4","5","2","1","POINT"
"14735","Nasser","7","3","3","5","1","18","5","5","2","1","POINT"
"14751","Nasser Overthrows Regime in Egypt","8","14751","2","5","12","18","4","5","2","1","POINT"
"14423","New Empire","2","3","3","5","14","18","5","6","2","1","POINT"
"14444","Old Kingdom","2","3","3","5","14","18","5","6","2","1","POINT"
"14145","Ottoman Empire","2","14145","3","5","14","18","5","7","2","1","POINT"
"13908","Ptolemy","2","13908","3","5","14","18","5","6","2","1","POINT"
"11378","Russia","2","11378","3","5","14","18","5","6","2","1","POINT"
"14713","Saddam Hussein","7","10416","3","5","1","18","5","5","2","1","POINT"
"14816","Srivijaya Empire","2","14816","3","5","14","18","5","6","2","1","POINT"
"14750","Suez Crises","8","14750","2","5","12","18","4","5","2","1","POINT"
"968493","Tantawi","7","3","3","5","1","18","5","5","2","1","POINT"
"10394","Turkey","2","10394","3","5","14","18","5","6","2","1","POINT"
"968511","USA Occupation","7","10416","3","5","1","18","5","5","2","1","POINT"
